Product ID,Priduct Name,Purchase Price,Sales Price,
203,Odonil Zipper Citrus-10gm,,60,
204,Fay Air Freshener Lime 3 in 1-300ml,,220,
205,Fay Air Freshener Jasmine 3 in 1- 300 ml,,220,
206,Wave Air Freshener (Lavender)- 300 ml,,200,
207,Armaf Enchanted Romance Air Freshener-300 ml,,350,
208,Angelic Fresh Air Freshener Citrus Burst-300 ml,,215,
209,Wave Air Freshener (Rose)-300ml,,215,
210,Wave Air Freshener (Lemongrass)-300ml,,215,
211,Angelic Fresh Air Freshener Sparkling Orange-300ml,,215,
212,Angelic Fresh Air Freshener Fruit Punch-300ml,,215,
213,Angelic Fresh Air Freshener Green Valley-300ml,,215,
214,Angelic Fresh Air Freshener Misty Wood-300ml,,215,
215,Fresh N Fresh Air Freshener Jasmine-300ml,,270,
216,Wave Air Freshener (Rojonigondha)-300ml,,215,
217,Aci Pure Miniket Rice 10kg,,750,
218,ACI Aroma Pure Basmati Rice-1kg,,325,
219,ACI Pure Aromatic Chinigura Rice-5kg,,600,
220,ACI Pure Premium Najirshail Rice 5kg,,400,
221,ACI Pure Najirshile Rice-10kg,,795,
222,ACI Pure Chinigura Aromatic Rice-1kg,,130,
223,ACI Pure Premium Miniket Rice 5kg,,390,
224,Teer Chinigura Rice-1 kg,,130,
225,Teer Miniket Rice-5kg,,385,
226,Teer Miniket Rice-10kg,,750,
227,Teer premium Naizarshail Rice bag-5kg,,420,
228,Pran Chola Boot 1 Kg Pack,,100,
229,Fresh Moshur 73-1 kg,,122,
230,Garbanzo (Chola Boot 73)-500 gm,,58,
231,Moshur Daal (Deshi)- 1 kg,,120,
232,Deshi Mug 73 - 1kg,,140,
233,Dubli Boot-500gm,,40,
234,Boot Daal-500 gm,,38,
235,Kheshari 73-500gm,,50,
236,ACI Pure Moshur 73- 1 kg,,130,
237,Pusti Deshi Moshur 73-1 kg,,95,
238,BPM Rice Flour (Free 250 gm Beson),,170,
239,Pran Mug 73-500 gm,,90,
240,TEER Red Lentil (Moshur Daal) - 1kg,,90,
241,Shaad Moshur 73-1 kg,,145,
242,Fresh Refined Sugar-1 kg,,78,
243,Teer Sugar-1 kg,,78,
244,Fresh Refined Sugar-500 gm,,40,
245,Fresh Super Premium (Vacuum) Salt-1 kg,,32,
246,Rock Salt (Bit Lobon),,35,
247,Ifad Iodized Salt-1 kg,,36,
248,Molla Super Salt-1kg,,35,
249,Pran Salt-1kg,,38,
250,Banoful Laccha Shemai,,35,
251,ACI Pure Suji-500gm,,30,
252,Cinnamon (Daruchini)-100gm,,49,
253,Cumin Seed (Jira)-100gm,,49,
254,Radhuni Turmeric Powder (Holud)-200gm,,90,
255,Radhuni Chili (Morich) Powder-200gm,,100,
256,Bay Leaves (Tejpata)-100gm,,25,
257,Cloves (Lobongo)-50gm,,89,
258,Black Pepper Whole-50gm,,60,
259,Cardamom (Elachi)-50gm,,155,
260,Radhuni Cumin (Jeera) Powder- 100 gm,,80,
261,Radhuni Coriander (Dhoniya) Powder- 200gm,,63,
262,Radhuni Garam Masala-40 gm,,60,
263,Black Pepper Powder-50 gm,,75,
264,Radhuni Cumin (Jeera) Powder-200gm,,155,
265,Radhuni Chili (Morich) Powder-100 gm,,53,
266,Radhuni Turmeric Powder (Holud)-100 gm,,50,
267,Radhuni Panch Foran-50gm,,22,
268,Radhuni Turmeric Powder (Holud)-500gm,,200,
269,Radhuni Coriander (Dhoniya) Powder-100 gm,,33,
270,Radhuni Roast Masala-35 gm,,60,
271,Radhuni Cumin (Jeera) Powder-50 gm,,43,
272,Arku Shahi Beef Masala-25 gm,,18,
273,Radhuni Garam Masala-15 gm,,26,
274,Arku Shahi 72 Masala-20gm,20,20,
275,Arku Shahi Fish Masala-20 gm,,12,
276,PRAN Turmeric Powder Jar-200gm,,90,
277,PRAN Chili Powder Jar-200gm,,100,
278,PRAN Biryani Masala-40 gm,,55,
279,PRAN Coriander Powder Jar-200gm,,65,
280,Radhuni Chili Powder (Jar)-200gm,,110,
281,Radhuni Turmeric Powder (Jar)-200gm,,105,
282,PRAN Meat Masala Mix-100gm,,65,
283,Fresh Chili Powder-200gm,,95,
284,PRAN Falooda Mix-250gm,,90,
285,Arku Chilli Powder-200gm,,95,
286,ACI Pure Turmeric Powder Jar-200gm,,105,
287,PRAN Fish Masala-100gm,,55,
288,PRAN Firni Mix-150 gm,,40,
289,Fresh Turmeric Powder-200gm,,90,
290,Ginger Imported-1kg,,130,
291,Garlic Imported (China) - 1kg,,120,
292,Kolson Laccha Shemai-200gm,,35,
293,Teer Semolina Suji-500gm,,30,
294,Cock Vermicelli (Shemai)-200gm,,35,
295,Sajeeb Lascha Semai-200gm,,35,
296,Ifad Suji-500gm,,30,
297,Fresh Suji-500gm,,30,
298,Shaad Suji-500gm,,30,
299,Pran Vermicelli Shemai-200 gm,,35,
300,BD Vermicelli-200gm,,35,
301,Bashundhara Suji-500gm,,30,
302,ACI Nutrilife Oats Plus Atta-1kg,,50,
303,ACI Pure Maida- 2kg,,92,
304,ACI Pure Atta- 2kg,,75,
305,Ifad Atta- 2kg,,72,
306,Bashundhara Brown Atta-1kg,,42,
307,Shaad Brown Atta-1 kg,,42,
308,Shaad Atta-2kg,,76,
309,Pusti Atta-2kg,,74,
310,Ifad Brown Atta-1kg,,45,
311,Pusti Brown Atta-1 kg,42,42,
312,Teer Whole Wheat Atta-2 kg,,82,
313,Fresh Atta-2kg,,75,
314,Shaad Maida- 2kg,,92,
315,Radhuni 72 Masala 100gm,65,65,
316,Radhuni Biryani Masala-40gm,,55,
317,Radhuni Beef Masala-25 gm,,18,
318,Radhuni Chatpoti Masala- 50 gm,,40,
319,Radhuni Kachchi Biryani Masala-40gm,,60,
320,Radhuni Falooda Mix (Vanilla)-250 gm,,65,
321,Radhuni Fish Curry Masala-100gm,,55,
322,Radhuni Meat Curry Masala-100gm,,65,
323,Radhuni Jorda Mix-400gm,,110,
324,Radhuni 72 Tandoori Masala-50gm,,75,
325,Radhuni Hyderabadi Biryani Masala-45gm,,80,
326,Radhuni Borhani Masala-50gm,,35,
327,Radhuni Kabab Masala-50gm,,90,
328,Radhuni Khichuri Mix-500gm,,110,
329,Ruchi Mango pickle-200gm,,70,
330,Ruchi Mango pickle-400gm,,130,
331,PRAN Mango pickle-400gm,,135,
332,Ruchi Garlic pickle- 200gm,,130,
333,Ruchi Chutney Tetul- 20 gm (12 pcs),,60,
334,BD Mango pickle 400gm,,125,
335,PRAN Naga Chili pickle-300gm,,200,
336,PRAN Olive pickle-400gm,,135,
337,BD Garlic pickle-400gm,,195,
338,PRAN Mixed pickle-400gm,,135,
339,BD Tatul Chutney-500gm,,120,
340,BD Olive pickle-400gm,,125,
341,PRAN Boroi Sweet pickle-350gm,,100,
342,Nestlé MILO Breakfast 2 Cereal Box-350gm,,350,
343,Kellogg's Chocos-250gm,,245,
344,Nestlé Corn Flakes Breakfast Cereal Box-275gm,,330,
345,Nestlé Koko Krunch Duo Cereal Box-330gm,,350,
346,Nestlé KOKO KRUNCH Breakfast 2 Cereal Box-330gm,,350,
347,Nestlé KOKO KRUNCH Breakfast 2 Cereal Box-170 gm,,200,
348,Kellogg's Muesli Nut Delight-500gm,,630,
349,Vim Dishwashing Bar-300gm,,32,
350,Vim Dishwashing Liquid-500ml,,105,
351,Trix Dishwashing Liquid Lemon Bottle-500ml,,105,
352,VIM Dishwashing Bar-150gm,,15,
353,Harpic Toilet Cleaning Liquid Original-1ltr,,160,
354,Harpic Bathroom Cleaning Powder Original-400gm,,75,
355,Pozzy Baby Wet Towel Wipes-120pcs,,235,
356,NeoCare Baby Wipes-120pcs,,200,
357,Freshmaker Jumbo Baby Wet Wipes-120pcs,,220,
358,Bashundhara Baby Wipes-120pcs,,180,
359,Molfix Baby Lotion Wet Wipes-60pcs,,220,
360,Happy Fresh (Rose) Wet Wipes-120pcs,,220,
361,Clariss Baby Wipes (Sensitive)-120pcs,,295,
362,Clariss Baby Wipes (Ultra Soft)-120pcs,,220,
363,Freshmaker Wet Wipes-120pcs,,220,
364,Happy Fresh Wet Wipes-120pcs,,220,
365,Farlin Baby Moisture Anti Rash Wet Wipes Pink (DT-006A)-85pcs,,410,
366,Nestlé NAN 2 Follow Up Formula With Optipro TIN-400gm,,860,
367,Nestlé NAN 3 OPTIPRO Follow Up Formula (12th month +) Box-350gm,,650,
368,Nestlé Cerelac 1 Wheat With 3 75 (6 months +) BIB-400gm,,340,
369,Rupchanda Soyabean Oil (poly)-1ltr,,138,
370,Radhuni Sunflower Oil-5ltr,,1275,
371,Fresh Soyabean Oil- 5Ltr,,660,
372,Bashundhara Soyabean Oil 2Ltr,,260,
373,Radhuni Mustard Oil- 80ml,,25,
374,ACI Nutrilife Rice Bran Oil (Bottle)-2ltr,,290,
375,Fortune Rice Bran Oil Pet- 2Ltr,,320,
376,Olitalia Sunflower Oil (5 Litres),,1575,
377,Olitalia Sunflower Oil- 1 Ltr,,330,
378,Olitalia Sunflower Oil 3ltr,,795,
379,Zandu Pure Honey-250gm,,235,
380,Dabur Honey-100gm,,110,
381,Dabur Honey-500gm,,375,
382,ACI Aerosol Insect Spray Jumbo-800ml,,450,
383,ACI Aerosol Insect Spray-475ml,,305,
384,Godrej Good Knight Power Active (Dual Power) Machine + Refill,,130,
385,Godrej Hit Lime Mosquitoes & Flies Spray-400ml,0,275,
386,Godrej Good Knight Power Activ + Cartridge-45ml,,99,
387,ACI Aerosol Insect Spray-250ml,,185,
388,Snickers 2-18gm,,20,
389,Cocola 2 Wafer Roll Jar-280gm,,60,
390,CBL Munchee 2 Fingers-100gm,,50,
391,Snickers 2-32gm,,40,
392,Snickers 2-50gm,,55,
393,Mars 2 Bar-50gm,,75,
394,Snickers Family Pack 2-180gm,,225,
395,Safari 2 Bar-12gm,,20,
396,Kellys Glass Cleaner 500ml (Refill)-500gm,,80,
397,Rin Power Bright Detergent- 2kg,,220,
398,Rok Bleaching Powder-500g,,60,
399,Savlon Disinfectant Spray-125ml,,150,
400,Chamak Fabric Brightener- 50ml,,18,
401,Rin Washing Powder Antibac-500gm,,60,
402,Surf Excel Washing Powder Matic Top Load-1kg,,230,
403,Mr. Brasso Glass Cleaner-350 Ml Refill,,110,
404,Mr. Brasso Glass Cleaner-350ml Spray,,140,
405,Wheel Washing Powder Laundry Bar-130gm,,20,
406,Wheel Washing Powder 2in1 Clean & Rose-500gm,,45,
407,Wheel Washing Powder 2in1 Clean &amp; Fresh-1kg,,85,
408,Wheel Washing Powder 2in1 Clean & Fresh-500gm,,45,
409,Tropicana Twister Orange Juice-1.5ltr,,450,
410,Tropicana Twister Apple Juice-1.5 ltr,,450,
411,Tropicana Frutz Orange-350ml,,40,
412,Tropicana Frutz Apple-350ml,,40,
413,Sajeeb Mango Bar-10pcs,,70,
414,PRAN Mango Bar-10pcs,,70,
415,PRAN Mango Bar-30pcs,,210,
416,Coca Cola-600ml,,40,
417,Pepsi Diet Pet-500ml,,35,
418,Coca Cola Can-250ml,,40,
419,Coca Cola-1.25 ltr,,70,
420,Diet Coke Can-250ml,,40,
421,Sprite-600ml,,35,
422,Mountain Dew Pet-400ml,,30,
423,Sprite-1.25 ltr,,65,
424,Sprite Can-250ml,,40,
425,PRAN Puffed Rice (Muri)-500gm,,65,
426,PRAN Puffed Rice (Muri)-250gm,,35,
427,Ruchi Puffed Rice (Muri)-500gm,,65,
428,Kazi Farms Kitchen Eggs (12pcs),,180,
429,Eggs - 12pcs,,90,
430,Lifebuoy Soap Bar Lemon Fresh-100gm,,35,
431,Dettol Soap Original Bathing Bar Soap-75gm,,42,
432,Dettol Soap Aloe Vera Bathing Bar Soap-75gm,,42,
433,Dettol Soap Original Bathing Bar Soap-125gm,,124,
434,Lux Soap Bar Soft Touch-150gm,,50,
435,Dove Beauty Bar White-135gm,,99,
436,Dettol Soap Cool Bathing Bar-75gm,,42,
437,Dettol Bathing Bar Soap Skincare-75gm,,42,
438,Lifebuoy Soap Bar Total-100gm,,34,
439,Lifebuoy Soap Bar Total-150gm,,48,
440,Lux Jasmine &amp; Vitamin E Bar Soap-100gm,,38,
441,Lux Soap Bar Iconic Iris-125gm,,45,
442,Lifebuoy Soap Bar Care-150gm,,48,
443,Dove Beauty Bar Pink-135gm,,99,
444,Lifebuoy Cool Fresh Skin Cleansing Bar-100gm,,34,
445,Dove Beauty Bar White-100gm,,75,
446,San73ina San73 & Rose Soap-100gm,,36,
447,San73ina San73 Soap-125gm,,44,
448,Lux Soap Bar Hypnotic Rose-125gm,,50,
449,Margo Original Neem Soap-100gm,,80,
450,Fa Vitalizing Aqua Fresh Bar Soap-175ml,,121,
451,San73ina San73 Soap-75gm,,27,
452,ACI Neem Original Pure Neem Soap-100gm,,42,
453,Parachute SkinPure Soap Bar Coco Olive &amp; Lavender-125gm,,46,
454,Meril Baby Mild Honey Soap-75gm,,70,
455,SUN Premium Ghee-200gm,,280,
456,Milk Vita Ghee-400gm,,500,
457,SUN Premium Ghee-400gm,,520,
458,Red Cow Butter Oil-200gm,,260,
459,Danish Premium Ghee-400gm,,525,
460,Savlon Hand Rub-250ml,,140,
461,Sepnil Disinfectant Spray-300ml,,350,
462,Savlon Disinfectant Spray-300ml,,350,
463,Germisol Hand Rub-50ml,,40,
464,Dettol Antiseptic Liquid (Brown) Single Pack-50ml,,38,
465,Hexisol Hand Rub-250ml,,130,
466,Hexisol Hand Rub-50ml,,40,
467,Nivea Intensive Moisture Body Milk-250ml,,600,
468,Vaseline Lotion Deep Restore-200ml,,190,
469,Nivea Soft Creme-100ml,,350,
470,Nivea Soft Creme-50ml,,175,
471,Pond's Day Cream White Beauty-35gm,,130,
472,Fair And Lovely Cream Advanced Multi Vitamin-100gm,,210,
473,Revive Moisturizing Lotion-200ml,,170,
474,Nivea Creme-60ml,,200,
475,Fair And Lovely Advanced Multivitamin Milk-200ml,,160,
476,Fair And Lovely Milk Advanced Multivitamin-100ml,,95,
477,Vaseline Intensive Care Cocoa Glow Body Lotion-400ml,,720,
478,Jhonson's 24 Hour Moisture Cream-200ml,,370,
479,Himalaya Natural Glow Fairness Cream- 50gm,,160,
480,Lever Ayush Face Cream Natural Saffron-50gm,,150,
481,Ponds Day Cream Age Miracle-25gm,,600,
482,PRAN Hot Tomato 10-340gm,,90,
483,Ahmed Soya 10-500ml,,110,
484,Pran Soya 10-300ml,,70,
485,PRAN Tomato Ketchup-340gm,,90,
486,PRAN Hot Tomato 10 Mini-10pcs,,30,
487,Shezan Tomato Ketchup-1kg,,180,
488,Ahmed Tomato 10-340gm,,90,
489,Ahmed Chilli 10-340gm,,90,
490,Sajeeb Soya 10-300ml,,70,
491,Remia Garlic 10-250ml,,180,
492,Pran Chilli 10-340gm,,100,
493,Pran Green Chili 10-340gm,,80,
494,Ruchi Tamarind 10-370gm,,100,
495,PRAN Tamarind 10-340gm,,100,
496,Ahmed Orange Jelly-500gm,,130,
497,PRAN Orange Jelly-500gm,,130,
498,Shezan Orange Jelly-440gm,,120,
499,BD Orange Jelly-500gm,,125,
500,Milk Vita Liquid Milk-1ltr,,75,
501,Aarong Dairy Full Cream Liquid Milk-1ltr,,75,
502,Aarong Dairy UHT Full Cream Liquid Milk-500ml,,45,
503,PRAN UHT Milk-1ltr,,90,
504,PRAN UHT Milk-500ml,,45,
505,Cowhead Pure UHT Milk-1ltr,,295,
506,Milkman Slim Low Fat UHT Milk-1ltr,,120,
507,PRAN Pasteurized Liquid Milk-1ltr,,70,
508,Farm Fresh Uht Milk-500ml,,45,
509,Cowhead UHT Milk Low Fat-1ltr,,300,
510,Cowhead Slim Fat Free Milk-1ltr,,279,
511,Alfa Mayonnaise-236ml,,125,
512,Ruchi Orange Jam-480gm,,130,
513,Shezan Mixed Fruit Jam-440gm,,120,
514,Ahmed Mixed Fruit Jam-500gm,,130,
515,PRAN Mixed Fruit Jam-375gm,,110,
516,Ahmed Mango Jam-500gm,,130,
517,Shezan Mango Jam-440gm,,120,
518,PRAN Mango Jam-375gm,,110,
519,PRAN Mango Jam-500gm,,130,
520,PRAN Apple Jelly-500gm,,130,
521,Kellogg's Oats 200gm,,125,
522,Kellogg's Oats-500gm,,265,
523,Quaker Oats Jar -1kg,,839,
524,Quaker Oats Jar-500gm,,268,
525,Rashid Miniket Rice - 50 kg,,3350,
526,Nazirshail Rice-1kg,,70,
527,Katarivog Rice- 1kg,,90,
528,Teer Chinigura Rice-1kg,,110,
529,Lal Chal-1kg,,65,
530,Ponds Face Wash White Beauty-50gm,,99,
531,Lever Ayush Face wash Anti Pimple Turmeric-40ml,,90,
532,Pond's Face Wash Pure White-100gm,,190,
533,Garnier Pure Active Neem Face Wash-100gm,,180,
534,Clean & Clear Morning Energy Face Wash Lemon-50ml,,140,
535,Garnier Light Complete Fairness Face Wash-100gm,,220,
536,Garnier Men Acno Fight Face Wash-100gm,,250,
537,Clean & Clear Morning Energy Face Wash-50ml,,140,
538,Garnier Men Oil Clear Gel Face Wash-100gm,,210,
